"FontName","FontFile"
"Bodoni MT Condensed Bold (TrueType)","BOD_CB.TTF"
"Bodoni MT Condensed Bold Italic (TrueType)","BOD_CBI.TTF"
"Bodoni MT Condensed Italic (TrueType)","BOD_CI.TTF"
"Bodoni MT Italic (TrueType)","BOD_I.TTF"
"Bodoni MT Poster Compressed (TrueType)","BOD_PSTC.TTF"
"Book Antiqua (TrueType)","BKANT.TTF"
"Book Antiqua Bold (TrueType)","ANTQUAB.TTF"
"Book Antiqua Bold Italic (TrueType)","ANTQUABI.TTF"
"Book Antiqua Italic (TrueType)","ANTQUAI.TTF"
"Bookman Old Style (TrueType)","BOOKOS.TTF"
"Bookman Old Style Bold (TrueType)","BOOKOSB.TTF"
"Bookman Old Style Bold Italic (TrueType)","BOOKOSBI.TTF"
"Bookman Old Style Italic (TrueType)","BOOKOSI.TTF"
"Bradley Hand ITC (TrueType)","BRADHITC.TTF"
"Britannic Bold (TrueType)","BRITANIC.TTF"
"Broadway (TrueType)","BROADW.TTF"
"Brush Script MT Italic (TrueType)","BRUSHSCI.TTF"
"Californian FB (TrueType)","CALIFR.TTF"
"Californian FB Bold (TrueType)","CALIFB.TTF"
"Californian FB Italic (TrueType)","CALIFI.TTF"
"Calisto MT (TrueType)","CALIST.TTF"
"Calisto MT Bold (TrueType)","CALISTB.TTF"
"Calisto MT Bold Italic (TrueType)","CALISTBI.TTF"
"Calisto MT Italic (TrueType)","CALISTI.TTF"
"Castellar (TrueType)","CASTELAR.TTF"
"Centaur (TrueType)","CENTAUR.TTF"
"Century (TrueType)","CENTURY.TTF"
"Century Gothic (TrueType)","GOTHIC.TTF"
"Century Gothic Bold (TrueType)","GOTHICB.TTF"
"Century Gothic Bold Italic (TrueType)","GOTHICBI.TTF"
"Century Gothic Italic (TrueType)","GOTHICI.TTF"
"Century Schoolbook (TrueType)","CENSCBK.TTF"
"Century Schoolbook Bold (TrueType)","SCHLBKB.TTF"
"Century Schoolbook Bold Italic (TrueType)","SCHLBKBI.TTF"
"Century Schoolbook Italic (TrueType)","SCHLBKI.TTF"
"Chiller (TrueType)","CHILLER.TTF"
"Colonna MT (TrueType)","COLONNA.TTF"
"Cooper Black (TrueType)","COOPBL.TTF"
"Copperplate Gothic Bold (TrueType)","COPRGTB.TTF"
"Copperplate Gothic Light (TrueType)","COPRGTL.TTF"
"Curlz MT (TrueType)","CURLZ___.TTF"
"Dubai Bold (TrueType)","DUBAI-BOLD.TTF"
"Dubai Light (TrueType)","DUBAI-LIGHT.TTF"
"Dubai Medium (TrueType)","DUBAI-MEDIUM.TTF"
"Dubai Regular (TrueType)","DUBAI-REGULAR.TTF"
"Edwardian Script ITC (TrueType)","ITCEDSCR.TTF"
"Elephant (TrueType)","ELEPHNT.TTF"
"Elephant Italic (TrueType)","ELEPHNTI.TTF"
"Engravers MT (TrueType)","ENGR.TTF"
"Eras Bold ITC (TrueType)","ERASBD.TTF"
"Eras Demi ITC (TrueType)","ERASDEMI.TTF"
"Eras Light ITC (TrueType)","ERASLGHT.TTF"
"Eras Medium ITC (TrueType)","ERASMD.TTF"
"Felix Titling (TrueType)","FELIXTI.TTF"
"Footlight MT Light (TrueType)","FTLTLT.TTF"
"Forte (TrueType)","FORTE.TTF"
"Franklin Gothic Book (TrueType)","FRABK.TTF"
"Franklin Gothic Book Italic (TrueType)","FRABKIT.TTF"
"Franklin Gothic Demi (TrueType)","FRADM.TTF"
"Franklin Gothic Demi Cond (TrueType)","FRADMCN.TTF"
"Franklin Gothic Demi Italic (TrueType)","FRADMIT.TTF"
"Franklin Gothic Heavy (TrueType)","FRAHV.TTF"
"Franklin Gothic Heavy Italic (TrueType)","FRAHVIT.TTF"
"Franklin Gothic Medium Cond (TrueType)","FRAMDCN.TTF"
"Freestyle Script (TrueType)","FREESCPT.TTF"
"French Script MT (TrueType)","FRSCRIPT.TTF"
"Garamond (TrueType)","GARA.TTF"
"Garamond Bold (TrueType)","GARABD.TTF"
"Garamond Italic (TrueType)","GARAIT.TTF"
"Gigi (TrueType)","GIGI.TTF"
"Gill Sans MT (TrueType)","GIL_____.TTF"
"Gill Sans MT Bold (TrueType)","GILB____.TTF"
"Gill Sans MT Bold Italic (TrueType)","GILBI___.TTF"
"Gill Sans MT Condensed (TrueType)","GILC____.TTF"
"Gill Sans MT Ext Condensed Bold (TrueType)","GLSNECB.TTF"
"Gill Sans MT Italic (TrueType)","GILI____.TTF"
"Gill Sans Ultra Bold (TrueType)","GILSANUB.TTF"
"Gill Sans Ultra Bold Condensed (TrueType)","GILLUBCD.TTF"
"Gloucester MT Extra Condensed (TrueType)","GLECB.TTF"
"Goudy Old Style (TrueType)","GOUDOS.TTF"
"Goudy Old Style Bold (TrueType)","GOUDOSB.TTF"
"Goudy Old Style Italic (TrueType)","GOUDOSI.TTF"
"Goudy Stout (TrueType)","GOUDYSTO.TTF"
"Haettenschweiler (TrueType)","HATTEN.TTF"
"Harlow Solid Italic (TrueType)","HARLOWSI.TTF"
"Harrington (TrueType)","HARNGTON.TTF"
"High Tower Text (TrueType)","HTOWERT.TTF"
"High Tower Text Italic (TrueType)","HTOWERTI.TTF"
"Imprint MT Shadow (TrueType)","IMPRISHA.TTF"
"Informal Roman (TrueType)","INFROMAN.TTF"
"Jokerman (TrueType)","JOKERMAN.TTF"
"Juice ITC (TrueType)","JUICE___.TTF"
"Kristen ITC (TrueType)","ITCKRIST.TTF"
"Kunstler Script (TrueType)","KUNSTLER.TTF"
"Lucida Bright (TrueType)","LBRITE.TTF"
"Lucida Calligraphy Italic (TrueType)","LCALLIG.TTF"
"Lucida Fax Demibold (TrueType)","LFAXD.TTF"
"Lucida Fax Demibold Italic (TrueType)","LFAXDI.TTF"
"Lucida Fax Italic (TrueType)","LFAXI.TTF"
"Lucida Fax Regular (TrueType)","LFAX.TTF"
"Lucida Handwriting Italic (TrueType)","LHANDW.TTF"
"Lucida Sans Demibold Italic (TrueType)","LSANSDI.TTF"
"Lucida Sans Demibold Roman (TrueType)","LSANSD.TTF"
"Lucida Sans Italic (TrueType)","LSANSI.TTF"
"Lucida Sans Typewriter Bold Oblique (TrueType)","LTYPEBO.TTF"
"Lucida Sans Typewriter Oblique (TrueType)","LTYPEO.TTF"
"Magneto Bold (TrueType)","MAGNETOB.TTF"
"Maiandra GD (TrueType)","MAIAN.TTF"
"Matura MT Script Capitals (TrueType)","MATURASC.TTF"
"Mistral (TrueType)","MISTRAL.TTF"
"Modern No. 20 (TrueType)","MOD20.TTF"
"Monotype Corsiva (TrueType)","MTCORSVA.TTF"
"Niagara Engraved (TrueType)","NIAGENG.TTF"
"Niagara Solid (TrueType)","NIAGSOL.TTF"
"OCR A Extended (TrueType)","OCRAEXT.TTF"
"Old English Text MT (TrueType)","OLDENGL.TTF"
"Onyx (TrueType)","ONYX.TTF"
"Palace Script MT (TrueType)","PALSCRI.TTF"
"Papyrus (TrueType)","PAPYRUS.TTF"
"Parchment (TrueType)","PARCHM.TTF"
"Perpetua (TrueType)","PER_____.TTF"
"Perpetua Bold (TrueType)","PERB____.TTF"
"Perpetua Bold Italic (TrueType)","PERBI___.TTF"
"Perpetua Italic (TrueType)","PERI____.TTF"
"Perpetua Titling MT Bold (TrueType)","PERTIBD.TTF"
"Perpetua Titling MT Light (TrueType)","PERTILI.TTF"
"Playbill (TrueType)","PLAYBILL.TTF"
"Poor Richard (TrueType)","POORICH.TTF"
"Pristina (TrueType)","PRISTINA.TTF"
"Rage Italic (TrueType)","RAGE.TTF"
"Ravie (TrueType)","RAVIE.TTF"
"Rockwell (TrueType)","ROCK.TTF"
"Rockwell Bold (TrueType)","ROCKB.TTF"
"Rockwell Bold Italic (TrueType)","ROCKBI.TTF"
"Rockwell Condensed (TrueType)","ROCC____.TTF"
"Rockwell Condensed Bold (TrueType)","ROCCB___.TTF"
"Rockwell Extra Bold (TrueType)","ROCKEB.TTF"
"Rockwell Italic (TrueType)","ROCKI.TTF"
"Script MT Bold (TrueType)","SCRIPTBL.TTF"
"Showcard Gothic (TrueType)","SHOWG.TTF"
"Snap ITC (TrueType)","SNAP____.TTF"
"Stencil (TrueType)","STENCIL.TTF"
"Tempus Sans ITC (TrueType)","TEMPSITC.TTF"
"Tw Cen MT (TrueType)","TCM_____.TTF"
"Tw Cen MT Bold (TrueType)","TCB_____.TTF"
"Tw Cen MT Bold Italic (TrueType)","TCBI____.TTF"
"Tw Cen MT Condensed (TrueType)","TCCM____.TTF"
"Tw Cen MT Condensed Bold (TrueType)","TCCB____.TTF"
"Tw Cen MT Condensed Extra Bold (TrueType)","TCCEB.TTF"
"Tw Cen MT Italic (TrueType)","TCMI____.TTF"
"Viner Hand ITC (TrueType)","VINERITC.TTF"
"Vivaldi Italic (TrueType)","VIVALDII.TTF"
"Vladimir Script (TrueType)","VLADIMIR.TTF"
"Wide Latin (TrueType)","LATINWD.TTF"
"Wingdings 2 (TrueType)","WINGDNG2.TTF"
"Wingdings 3 (TrueType)","WINGDNG3.TTF"
"Barlow Condensed Bold (TrueType)","BarlowCondensed-Bold.ttf"
"Barlow Condensed Bold Italic (TrueType)","BarlowCondensed-BoldItalic.ttf"
"Barlow Condensed Italic (TrueType)","BarlowCondensed-Italic.ttf"
"Barlow Condensed Regular (TrueType)","BarlowCondensed-Regular.ttf"
"Caveat Bold (TrueType)","Caveat-Bold.ttf"
"Caveat Regular (TrueType)","Caveat-Regular.ttf"
"Cormorant Infant Bold (TrueType)","CormorantInfant-Bold.ttf"
"Cormorant Infant Bold Italic (TrueType)","CormorantInfant-BoldItalic.ttf"
"Cormorant Infant Italic (TrueType)","CormorantInfant-Italic.ttf"
"Cormorant Infant Regular (TrueType)","CormorantInfant-Regular.ttf"
"Montserrat Bold (TrueType)","Montserrat-Bold.ttf"
"Montserrat Bold Italic (TrueType)","Montserrat-BoldItalic.ttf"
"Montserrat Italic (TrueType)","Montserrat-Italic.ttf"
"Montserrat Regular (TrueType)","Montserrat-Regular.ttf"
"Noto Sans Bold (TrueType)","NotoSans-Bold.ttf"
"Noto Sans Bold Italic (TrueType)","NotoSans-BoldItalic.ttf"
"Noto Sans Italic (TrueType)","NotoSans-Italic.ttf"
"Noto Sans (TrueType)","NotoSans-Regular.ttf"
"Noto Serif Bold (TrueType)","NotoSerif-Bold.ttf"
"Noto Serif Bold Italic (TrueType)","NotoSerif-BoldItalic.ttf"
"Noto Serif Italic (TrueType)","NotoSerif-Italic.ttf"
"Noto Serif (TrueType)","NotoSerif-Regular.ttf"
"Open Sans Bold (TrueType)","OpenSans-Bold.ttf"
"Open Sans Bold Italic (TrueType)","OpenSans-BoldItalic.ttf"
"Open Sans Italic (TrueType)","OpenSans-Italic.ttf"
"Open Sans Regular (TrueType)","OpenSans-Regular.ttf"
"Roboto Black (TrueType)","Roboto-Black.ttf"
"Roboto Bold (TrueType)","Roboto-Bold.ttf"
"Roboto Bold Italic (TrueType)","Roboto-BoldItalic.ttf"
"Roboto Italic (TrueType)","Roboto-Italic.ttf"
"Roboto (TrueType)","Roboto-Regular.ttf"
"Roboto Condensed Bold (TrueType)","RobotoCondensed-Bold.ttf"
"Roboto Condensed Bold Italic (TrueType)","RobotoCondensed-BoldItalic.ttf"
"Roboto Condensed Italic (TrueType)","RobotoCondensed-Italic.ttf"
"Roboto Condensed (TrueType)","RobotoCondensed-Regular.ttf"
"Zilla Slab Bold (TrueType)","ZillaSlab-Bold.ttf"
"Zilla Slab Bold Italic (TrueType)","ZillaSlab-BoldItalic.ttf"
"Zilla Slab Italic (TrueType)","ZillaSlab-Italic.ttf"
"Zilla Slab (TrueType)","ZillaSlab-Regular.ttf"
"Unispace-Bold (TrueType)","unispace bd.ttf"
"Digital-7 Mono (TrueType)","digital-7 (mono).ttf"
"Dungeon (TrueType)","dungeon.TTF"
"hooge 05_53 (TrueType)","HOOG0553.TTF"
"hooge 05_54 (TrueType)","HOOG0554.TTF"
"hooge 05_55 (TrueType)","HOOG0555.TTF"
"LCDMono2 Bold (TrueType)","LCDM2B__.TTF"
"LCDMono2 Light (TrueType)","LCDM2L__.TTF"
"LCDMono2 Normal (TrueType)","LCDM2N__.TTF"
"LCDMono2 Ultra (TrueType)","LCDM2U__.TTF"
"Arial Unicode MS (TrueType)","ARIALUNI.TTF"
"MS Mincho (TrueType)","MSMINCHO.TTF"
"Cascadia Code Regular (TrueType)","CascadiaCode.ttf"
"Cascadia Mono Regular (TrueType)","CascadiaMono.ttf"
"Bookshelf Symbol 7 (TrueType)","BSSYM7.TTF"
"Lucida Bright Demibold (TrueType)","LBRITED.TTF"
"Lucida Bright Demibold Italic (TrueType)","LBRITEDI.TTF"
"Lucida Bright Italic (TrueType)","LBRITEI.TTF"
"Leelawadee (TrueType)","LEELAWAD.TTF"
"Leelawadee Bold (TrueType)","LEELAWDB.TTF"
"Lucida Sans Regular (TrueType)","LSANS.TTF"
"Lucida Sans Typewriter Regular (TrueType)","LTYPE.TTF"
"Lucida Sans Typewriter Bold (TrueType)","LTYPEB.TTF"
"Microsoft Uighur Bold (TrueType)","MSUIGHUB.TTF"
"Microsoft Uighur (TrueType)","MSUIGHUR.TTF"
"MT Extra (TrueType)","MTEXTRA.TTF"
"MS Outlook (TrueType)","OUTLOOK.TTF"
"MS Reference Sans Serif (TrueType)","REFSAN.TTF"
"MS Reference Specialty (TrueType)","REFSPCL.TTF"
